station,date,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,TSUN
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/25/2000,16.55,0,0,74,81,67,469
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/26/2000,9.4,0.2,0,57,72,41,534
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/27/2000,3.36,0,0,52,73,31,689
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/28/2000,9.4,0,0,55,75,35,682
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/29/2000,10.29,0,0,67,77,57,428
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/1/2000,7.38,0,0,70,80,59,431
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/2/2000,15.21,0,0,74,81,67,527
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/3/2000,11.41,0,0,58,71,45,652
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/4/2000,7.61,0,0,51,66,35,651
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/5/2000,8.95,0,0,56,72,40,365
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/6/2000,11.18,0,0,72,80,63,339
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/7/2000,15.88,0,0,75,82,68,424
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/8/2000,5.14,0.02,0,66,79,52,466
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/9/2000,3.13,0,0,69,85,52,552
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/10/2000,13.2,0,0,70,83,56,373
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/11/2000,14.76,0,0,49,62,36,710
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/12/2000,4.47,0,0,49,68,30,697
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/13/2000,5.82,0,0,55,72,38,600
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/14/2000,5.59,0.03,0,57,64,50,167
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/15/2000,4.7,0,0,61,75,47,564
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/16/2000,8.5,0.14,0,64,83,45,548
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/17/2000,8.28,0.49,0,46,50,41,30
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/18/2000,4.92,0,0,60,71,49,471
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/19/2000,9.84,0.03,0,53,69,37,721
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/20/2000,11.18,0,0,54,76,32,661
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/21/2000,10.96,0.05,0,67,72,62,34
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/22/2000,14.99,0.02,0,73,81,65,521
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/23/2000,9.4,0.01,0,70,76,64,499
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/24/2000,8.05,0,0,76,85,66,555
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/25/2000,7.61,0,0,73,83,62,643
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/26/2000,9.17,0.01,0,77,85,68,424
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/27/2000,7.83,0,0,69,84,53,729
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/28/2000,9.4,0.04,0,67,83,51,463
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/29/2000,7.61,0.08,0,75,91,58,670
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/30/2000,13.2,0,0,63,74,51,679
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",3/31/2000,7.61,0,0,63,73,52,513
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/1/2000,6.26,0.17,0,65,70,59,39
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/2/2000,9.4,0.61,0,58,60,55,93
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/3/2000,10.07,0.2,0,59,68,49,673
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/4/2000,4.47,0,0,54,69,38,754
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/5/2000,10.51,0,0,59,78,39,756
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/6/2000,13.2,0,0,69,82,55,619
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/7/2000,12.08,0,0,73,86,60,583
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",4/8/2000,16.11,0,0,53,68,37,758
