section,school
SDS322E_62940,Natural Sciences
SDS322E_62935,Liberal Arts
SDS322E_62935,Liberal Arts
SDS322E_62895,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62940,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62930,Liberal Arts
SDS322E_62935,Natural Sciences
SDS322E_62900,Natural Sciences
SDS322E_62930,Natural Sciences
SDS322E_62900,Natural Sciences
SDS322E_62935,Natural Sciences
SDS322E_62935,Natural Sciences
SDS322E_62900,Liberal Arts
SDS322E_62940,Natural Sciences
SDS322E_62940,Natural Sciences
SDS322E_62930,Natural Sciences
SDS322E_62935,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62925,Liberal Arts
SDS322E_62895,Business
SDS322E_62900,Natural Sciences
SDS322E_62900,Liberal Arts
SDS322E_62895,Liberal Arts
SDS322E_62935,Natural Sciences
SDS322E_62900,Natural Sciences
SDS322E_62930,Engineering
SDS322E_62935,Liberal Arts
SDS322E_62940,Liberal Arts
SDS322E_62935,Natural Sciences
SDS322E_62900,Liberal Arts
SDS322E_62895,Liberal Arts
SDS322E_62935,Liberal Arts
SDS322E_62930,Natural Sciences
SDS322E_62935,Natural Sciences
SDS322E_62925,Liberal Arts
SDS322E_62900,Natural Sciences
SDS322E_62935,Education
SDS322E_62930,Natural Sciences
SDS322E_62940,Natural Sciences
SDS322E_62900,Natural Sciences
SDS322E_62935,Engineering
SDS322E_62895,Natural Sciences
SDS322E_62935,Natural Sciences
SDS322E_62900,Business
SDS322E_62940,Natural Sciences
SDS322E_62925,Liberal Arts
SDS322E_62940,Natural Sciences
SDS322E_62930,Liberal Arts
SDS322E_62895,Natural Sciences
SDS322E_62895,Liberal Arts
SDS322E_62925,Natural Sciences
SDS322E_62930,Liberal Arts
SDS322E_62900,Natural Sciences
SDS322E_62925,Liberal Arts
SDS322E_62900,Natural Sciences
SDS322E_62900,Liberal Arts
SDS322E_62900,Liberal Arts
SDS322E_62930,Natural Sciences
SDS322E_62940,Liberal Arts
SDS322E_62895,Natural Sciences
SDS322E_62925,Liberal Arts
SDS322E_62930,Liberal Arts
SDS322E_62940,Liberal Arts
SDS322E_62930,Natural Sciences
SDS322E_62940,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62940,Liberal Arts
SDS322E_62895,Natural Sciences
SDS322E_62925,Liberal Arts
SDS322E_62925,Natural Sciences
SDS322E_62925,Liberal Arts
SDS322E_62940,Liberal Arts
SDS322E_62900,Natural Sciences
SDS322E_62895,Liberal Arts
SDS322E_62935,Liberal Arts
SDS322E_62895,Communication
SDS322E_62940,Liberal Arts
SDS322E_62935,Liberal Arts
SDS322E_62935,Natural Sciences
SDS322E_62900,Liberal Arts
SDS322E_62925,Natural Sciences
SDS322E_62930,Natural Sciences
SDS322E_62930,Natural Sciences
SDS322E_62900,Liberal Arts
SDS322E_62895,Natural Sciences
SDS322E_62935,Liberal Arts
SDS322E_62900,Liberal Arts
SDS322E_62900,Education
SDS322E_62930,Liberal Arts
SDS322E_62895,Natural Sciences
SDS322E_62935,Natural Sciences
SDS322E_62935,Natural Sciences
SDS322E_62935,Natural Sciences
SDS322E_62935,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62930,Natural Sciences
SDS322E_62930,Natural Sciences
SDS322E_62900,Liberal Arts
SDS322E_62935,Natural Sciences
SDS322E_62940,Natural Sciences
SDS322E_62930,Liberal Arts
SDS322E_62925,Liberal Arts
SDS322E_62935,Liberal Arts
SDS322E_62935,Natural Sciences
SDS322E_62930,Liberal Arts
SDS322E_62900,Liberal Arts
SDS322E_62940,Liberal Arts
SDS322E_62935,Liberal Arts
SDS322E_62940,Natural Sciences
SDS322E_62900,Natural Sciences
SDS322E_62935,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62940,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62900,Natural Sciences
SDS322E_62940,Natural Sciences
SDS322E_62930,Liberal Arts
SDS322E_62930,Liberal Arts
SDS322E_62930,Liberal Arts
SDS322E_62930,Natural Sciences
SDS322E_62935,Liberal Arts
SDS322E_62930,Natural Sciences
SDS322E_62895,Liberal Arts
SDS322E_62935,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62930,Liberal Arts
SDS322E_62895,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62930,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62940,Liberal Arts
SDS322E_62930,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62940,Liberal Arts
SDS322E_62900,Natural Sciences
SDS322E_62930,Liberal Arts
SDS322E_62900,Liberal Arts
SDS322E_62935,Natural Sciences
SDS322E_62940,Natural Sciences
SDS322E_62935,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62940,Liberal Arts
SDS322E_62930,Liberal Arts
SDS322E_62895,Natural Sciences
SDS322E_62900,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62930,Natural Sciences
SDS322E_62940,Natural Sciences
SDS322E_62925,Communication
SDS322E_62900,Natural Sciences
SDS322E_62930,Liberal Arts
SDS322E_62925,Engineering
SDS322E_62925,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62930,Liberal Arts
SDS322E_62930,Business
SDS322E_62935,Liberal Arts
SDS322E_62895,Engineering
SDS322E_62940,Liberal Arts
SDS322E_62940,Natural Sciences
SDS322E_62925,Liberal Arts
SDS322E_62940,Natural Sciences
SDS322E_62930,Natural Sciences
SDS322E_62935,Liberal Arts
SDS322E_62930,Liberal Arts
SDS322E_62930,Liberal Arts
SDS322E_62925,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62900,Communication
SDS322E_62900,Liberal Arts
SDS322E_62900,Natural Sciences
SDS322E_62940,Natural Sciences
SDS322E_62925,Liberal Arts
SDS322E_62940,Engineering
SDS322E_62935,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62925,Engineering
SDS322E_62925,Engineering
SDS322E_62940,Natural Sciences
SDS322E_62900,Natural Sciences
SDS322E_62940,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62900,Liberal Arts
SDS322E_62930,Liberal Arts
SDS322E_62930,Liberal Arts
SDS322E_62900,Liberal Arts
SDS322E_62940,Natural Sciences
SDS322E_62895,Liberal Arts
SDS322E_62895,Natural Sciences
SDS322E_62900,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62940,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62895,Liberal Arts
SDS322E_62925,Natural Sciences
SDS322E_62940,Liberal Arts
SDS322E_62935,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62895,Liberal Arts
SDS322E_62900,Natural Sciences
SDS322E_62900,Natural Sciences
SDS322E_62900,Liberal Arts
SDS322E_62940,Natural Sciences
SDS322E_62930,Natural Sciences
SDS322E_62900,Liberal Arts
SDS322E_62930,Liberal Arts
SDS322E_62925,Natural Sciences
SDS322E_62930,Natural Sciences
SDS322E_62940,Liberal Arts
SDS322E_62900,Liberal Arts
SDS322E_62895,Natural Sciences
SDS322E_62930,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62935,Natural Sciences
SDS322E_62940,Engineering
SDS322E_62925,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62925,Liberal Arts
SDS322E_62925,Natural Sciences
SDS322E_62895,Liberal Arts
SDS322E_62925,Natural Sciences
SDS322E_62900,Natural Sciences
SDS322E_62940,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62925,Natural Sciences
SDS322E_62935,Liberal Arts
SDS322E_62935,Natural Sciences
SDS322E_62930,Natural Sciences
SDS322E_62940,Liberal Arts
SDS322E_62930,Natural Sciences
SDS322E_62930,Business
SDS322E_62900,Liberal Arts
SDS322E_62900,Natural Sciences
SDS322E_62930,Liberal Arts
SDS322E_62935,Engineering
SDS322E_62935,Liberal Arts
SDS322E_62935,Engineering
SDS322E_62940,Natural Sciences
SDS322E_62930,Natural Sciences
SDS322E_62935,Natural Sciences
SDS322E_62895,Liberal Arts
SDS322E_62900,Natural Sciences
SDS322E_62940,Engineering
SDS322E_62900,Liberal Arts
SDS322E_62900,Natural Sciences
SDS322E_62925,Liberal Arts
SDS322E_62925,Business
SDS322E_62930,Liberal Arts
SDS322E_62935,Business
SDS322E_62935,Business
SDS322E_62900,Liberal Arts
SDS322E_62930,Natural Sciences
SDS322E_62925,Liberal Arts
SDS322E_62930,Natural Sciences
SDS322E_62895,Liberal Arts
SDS322E_62900,Liberal Arts
SDS322E_62940,Engineering
SDS322E_62925,Natural Sciences
SDS322E_62935,Liberal Arts
SDS322E_62900,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62935,Liberal Arts
SDS322E_62895,Education
SDS322E_62935,Natural Sciences
SDS322E_62940,Natural Sciences
SDS322E_62940,Liberal Arts
SDS322E_62940,Natural Sciences
SDS322E_62930,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62895,Natural Sciences
SDS322E_62895,Engineering
SDS322E_62895,Liberal Arts
SDS322E_62935,Natural Sciences
