age,gender,ethnicity,gameplayFreq,gambling,esports,token,simulated,real_money,lootbox,problem_gambling,gaming_disorder,mainGame
46,0,0,0,0,0,0,0,0,1,0,0,N/A
42,0,0,0,6,1,0,0,0,1,0,0,N/A
28,0,0,0,4,0,0,0,0,1,0,0,N/A
55,0,0,0,6,0,0,0,0,1,1,0,N/A
32,0,0,1,1,0,0,0,0,0,0,0,N/A
44,0,0,0,4,0,0,0,0,1,1,0,N/A
46,0,0,0,7,0,0,0,0,1,1,0,N/A
33,0,0,0,8,0,0,0,0,1,0,0,N/A
64,0,0,0,1,0,0,0,0,1,0,0,N/A
60,0,0,1,6,0,0,0,0,1,1,0,N/A
53,0,0,0,6,0,0,0,0,1,0,0,N/A
66,0,0,0,7,0,0,0,0,1,0,0,N/A
30,0,0,0,7,0,0,0,0,1,1,0,N/A
35,0,0,0,7,0,0,0,0,1,1,0,N/A
39,0,0,1,0,0,0,0,0,1,0,0,N/A
34,0,0,0,9,0,0,0,0,1,0,0,N/A
23,0,0,1,5,0,0,0,0,0,0,0,N/A
62,0,0,0,7,1,0,0,0,1,1,0,N/A
54,0,1,0,3,0,0,0,0,1,0,0,N/A
60,0,0,0,4,0,0,0,0,1,0,0,N/A
69,0,0,0,2,0,0,0,0,1,0,0,N/A
40,0,0,0,5,0,0,0,0,1,0,0,N/A
47,0,0,0,4,0,0,0,0,1,1,0,N/A
52,0,0,0,4,0,0,0,0,1,0,0,N/A
39,0,0,0,3,0,0,0,0,1,0,0,N/A
48,0,0,0,7,0,0,1,0,1,0,0,N/A
59,0,0,0,11,1,0,1,1,1,1,0,N/A
52,0,0,0,2,0,0,0,0,1,0,0,N/A
42,0,1,0,3,0,0,0,0,1,1,0,N/A
41,0,0,0,8,0,0,0,0,1,0,0,N/A
54,0,1,0,3,0,0,0,0,1,0,0,N/A
33,0,1,0,2,0,1,1,1,1,0,0,N/A
62,0,0,0,7,0,0,0,0,1,0,0,N/A
58,0,0,0,8,0,0,0,0,1,1,0,N/A
63,0,0,0,2,0,0,0,0,1,0,0,N/A
64,0,0,0,5,0,1,0,0,1,1,0,N/A
65,0,0,0,5,0,0,0,0,1,0,0,N/A
67,0,0,0,5,0,0,0,0,1,1,0,N/A
61,0,0,0,4,0,0,0,0,1,0,0,N/A
70,0,0,1,5,0,0,0,0,1,1,0,N/A
62,0,0,0,3,0,0,0,0,1,0,0,N/A
70,0,0,0,2,0,0,0,0,1,0,0,N/A
66,0,0,0,4,0,0,0,0,1,1,0,N/A
68,0,0,0,0,0,0,0,0,1,0,0,N/A
62,0,0,0,1,0,0,0,0,1,0,0,N/A
63,0,0,0,5,0,0,0,0,1,1,0,N/A
60,0,0,0,1,0,0,0,0,1,0,0,N/A
61,0,0,0,1,0,0,0,0,1,0,0,N/A
68,0,0,0,1,0,0,0,0,1,0,0,N/A
61,0,0,0,8,0,0,0,0,1,0,0,N/A
59,0,0,0,4,0,0,0,0,1,0,0,N/A
52,0,1,0,3,0,0,0,0,1,0,0,N/A
64,0,0,0,0,0,0,0,0,1,1,0,N/A
59,0,0,0,4,0,0,0,0,1,1,0,N/A
64,0,0,0,3,0,0,0,0,1,0,0,N/A
65,0,0,0,2,0,0,0,0,1,0,0,N/A
63,0,0,0,2,0,0,0,0,1,0,0,N/A
59,0,0,0,5,0,0,0,0,1,1,0,N/A
66,0,0,0,2,0,0,0,0,1,0,0,N/A
74,0,0,0,5,0,0,0,0,1,0,0,N/A
35,0,0,0,3,0,0,0,0,1,0,0,N/A
65,0,0,0,2,0,0,0,0,1,0,0,N/A
60,0,0,0,2,0,0,0,0,1,0,0,N/a
52,0,0,0,3,0,0,0,0,1,0,0,N/a
55,0,0,0,6,0,0,0,0,1,0,0,N/a
32,0,1,0,4,0,0,0,0,1,0,0,N/a
64,0,0,0,2,0,0,0,0,1,0,0,N/a
45,0,0,0,9,0,0,0,0,1,0,0,N/a
60,0,0,0,4,0,0,0,0,1,0,0,N/a
59,0,0,0,6,0,0,0,0,1,1,0,N/a
48,0,0,0,8,0,0,0,0,1,1,0,n/a
64,0,0,0,7,0,0,0,0,1,0,0,n/a
58,0,0,0,8,0,0,0,0,1,1,0,n/a
57,0,0,0,6,0,0,0,0,1,0,0,n/a
47,0,0,0,3,0,0,0,0,1,0,0,n/a
48,0,0,0,3,0,0,0,0,1,0,0,n/a
59,0,0,0,1,0,0,0,0,1,0,0,n/a
57,0,0,0,3,0,0,0,0,1,0,0,n/a
55,0,0,0,9,0,0,0,0,1,1,0,n/a
49,0,0,1,7,0,0,0,0,1,1,0,n/a
60,0,0,0,5,0,0,0,0,1,0,0,n/a
63,0,0,0,7,0,0,0,0,1,0,0,n/a
70,0,0,0,2,0,0,0,0,1,0,0,n/a
75,0,0,0,8,0,0,0,0,1,0,0,n/a
65,0,0,0,0,0,0,0,0,1,0,0,n/a
58,0,0,0,5,0,0,0,0,1,0,0,n/a
30,0,0,0,1,0,0,0,0,1,0,0,n/a
34,0,0,0,3,0,0,0,0,1,0,0,n/a
63,0,0,0,11,0,0,0,0,1,1,0,N?A
64,0,0,0,5,0,0,0,0,1,0,0,monster busters
52,0,0,1,6,0,0,0,0,1,0,0,Miniclip free pool
58,0,0,1,7,0,0,0,0,1,0,0,merge dragons
58,0,0,1,5,0,0,0,0,1,0,0,medal of honour
63,0,0,0,4,0,0,0,0,1,0,0,mahjong
44,0,0,1,4,1,1,1,0,0,0,0,Mafia 3
18,0,1,1,0,0,1,0,1,0,0,0,League Of Legends
50,0,0,1,3,0,1,0,0,1,0,0,internet checkers
32,0,1,1,11,0,0,0,0,1,0,0,injustice 2
59,0,0,1,2,0,0,0,0,1,0,0,Ingress
